_MCATE_CD_NM,SEXDSTN_CD,BIRTH_YEAR,MRRG_AT_CD,CHLDRN_AT_CD,FAMILY_TY_NM,OC_AREA_CD,ANSWRR_OC_AREA_NM,OCCP_CL_NM,MT_AVRG_HSHLD_INCOME_DGREE_NM,COM_AT,TOUR_PD,LDGS_NM,LDGS_ADDR,LDGS_ROAD_NM_ADDR,GSRM_SCALE_CN,LDGS_GRAD_VALUE,LDGMNT_TY_NM,LDGS_AVRG_PRC,LDGS_MIN_PRC,LDGS_MXMM_PRC,LDGS_AVRG_SCORE_CO,COM_TY,여행유형,나이,나이대
14899,M,1972,기혼,중/고등학생,4,인천,연수구,자영업,600만원,Y,2022,금호리조트 화순,전남,전남 화순군 백아면 옥리길 14-21,200개 이상,성급없음,휴양콘도미니엄업,112774,94400,153400,8,부모님,효도여행,51,50대
14907,M,1980,기혼,"영/유아, 초등학생",4,서울,강서구,기능/숙련공,600만원,Y,2022,파라다이스시티,인천,인천 중구 영종해안남로321번길 186,200개 이상,5성,관광호텔업,762659,550000,990000,8,"자녀, 배우자, 부모님, 기타",효도여행,43,40대
14911,F,2002,미혼,X,4,서울,종로구,재수/입시/유학 준비,600만원,Y,2022,파라다이스시티,인천,인천 중구 영종해안남로321번길 186,200개 이상,5성,관광호텔업,762659,550000,990000,8,"형제/자매, 부모님",효도여행,21,20대
14919,F,1989,미혼,X,3,부산,기장군,사무직,600만원,Y,2022,파라다이스시티,인천,인천 중구 영종해안남로321번길 186,200개 이상,5성,관광호텔업,762659,550000,990000,8,"친구, 부모님",효도여행,34,30대
14921,M,1985,기혼,"영/유아, 초등학생",4,인천,부평구,기술직,600만원,Y,2019,파라다이스시티,인천,인천 중구 영종해안남로321번길 186,200개 이상,5성,관광호텔업,762659,550000,990000,8,"부모님, 형제/자매",효도여행,35,30대
14924,F,1985,미혼,X,3,서울,동작구,사무직,600만원,Y,2022,파라다이스시티,인천,인천 중구 영종해안남로321번길 186,200개 이상,5성,관광호텔업,762659,550000,990000,8,"부모님, 기타",효도여행,38,30대
14930,F,1972,미혼,X,4,경기,부천시,사무직,600만원,Y,2021,오크우드프리미어인천호텔,인천,인천 연수구 컨벤시아대로 165,200개 이상,5성,가족호텔업,375668,178310,968000,8,"부모님, 형제/자매, 반려동물",효도여행,50,50대
14931,F,1972,기혼,결혼하지 않은 성인,2,서울,구로구,판매/서비스직,600만원,Y,2022,오크우드프리미어인천호텔,인천,인천 연수구 컨벤시아대로 165,200개 이상,5성,가족호텔업,375668,178310,968000,8,"형제/자매, 부모님",효도여행,51,50대
14935,F,1989,기혼,자녀가 없음,2,세종,,사무직,600만원,Y,2021,쉐라톤 그랜드 인천,인천,인천 연수구 컨벤시아대로 153,200개 이상,5성,관광호텔업,359830,242000,580800,8,"배우자, 부모님",효도여행,33,30대
14937,M,1972,미혼,X,3,서울,마포구,사무직,600만원,Y,2020,송도센트럴파크호텔,인천,인천 연수구 테크노파크로 193,200개 이상,3성,미분류,177655,93719,350000,8,부모님,효도여행,49,40대
14965,F,1996,미혼,X,5,경기,안산시,사무직,600만원,Y,2022,코트야드 바이 메리어트 서울 타임스퀘어,서울,서울 영등포구 영중로 15,200개 이상,4성,관광호텔업,306528,205700,538450,8,부모님,효도여행,27,20대
14982,F,1984,미혼,X,3,서울,광진구,사무직,600만원,Y,2021,그랜드 워커힐 서울,서울,서울특별시 광진구 워커힐로 177,200개 이상,5성,관광호텔업,418933,157700,762300,8,"부모님, 형제/자매",효도여행,38,30대
15002,M,2003,미혼,X,4,경기,성남시,대학(원)생,600만원,Y,2022,신라스테이 서대문,서울,서울 서대문구 충정로 76,200개 이상,3성,관광호텔업,193264,109021,478500,8,부모님,효도여행,20,20대
15011,F,1984,기혼,"영/유아, 초등학생",4,경북,문경시,기술직,600만원,Y,2022,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 부모님",효도여행,39,30대
15015,F,1972,미혼,X,3,서울,송파구,사무직,600만원,Y,2020,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"부모님, 형제/자매",효도여행,49,40대
15025,F,1995,미혼,X,1,강원,춘천시,기술직,600만원,Y,2023,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,부모님,효도여행,29,20대
15045,F,2003,미혼,X,4,서울,서대문구,대학(원)생,600만원,Y,2021,그랜드 하얏트 서울,서울,서울 용산구 소월로 322,200개 이상,5성,관광호텔업,613231,399000,998250,9,부모님,효도여행,19,10대
15048,M,1980,기혼,자녀가 없음,2,경기,부천시,사무직,600만원,Y,2020,힐튼 호텔 부산,부산,부산 기장군 기장읍 기장해안로 268-32,200개 이상,5성,관광호텔,587997,83864,990000,8,"배우자, 부모님, 형제/자매",효도여행,41,40대
