_MCATE_CD_NM,SEXDSTN_CD,BIRTH_YEAR,MRRG_AT_CD,CHLDRN_AT_CD,FAMILY_TY_NM,OC_AREA_CD,ANSWRR_OC_AREA_NM,OCCP_CL_NM,MT_AVRG_HSHLD_INCOME_DGREE_NM,COM_AT,TOUR_PD,LDGS_NM,LDGS_ADDR,LDGS_ROAD_NM_ADDR,GSRM_SCALE_CN,LDGS_GRAD_VALUE,LDGMNT_TY_NM,LDGS_AVRG_PRC,LDGS_MIN_PRC,LDGS_MXMM_PRC,LDGS_AVRG_SCORE_CO,COM_TY,AGE,AGE_RANGE,여행유형
18921,M,1967,기혼,결혼하지 않은 성인,4,경기,용인시,사무직,1000만원 초과,Y,2021,라마다 앙코르 해운대,부산,부산 해운대구 구남로 9,200개 이상,4성,일반호텔,200891,83700,480000,9,"자녀, 배우자",55,50대,가족여행
17022,M,1981,기혼,"영/유아, 초등학생",4,충북,청주시,사무직,800만원,Y,2023,제주 신라 호텔,제주,제주특별자치도 서귀포시 중문관광로72번길 75,200개 이상,5성,관광호텔,533024,341976,992750,9,"자녀, 배우자",43,40대,가족여행
17828,F,1979,기혼,"영/유아, 초등학생",2,경기,화성시,사무직,900만원,Y,2020,제주 신라 호텔,제주,제주특별자치도 서귀포시 중문관광로72번길 75,200개 이상,5성,관광호텔,533024,341976,992750,9,"배우자, 자녀",42,40대,가족여행
18931,M,1968,기혼,대학/대학원생 자녀,3,경기,안양시,경영/관리직,1000만원 초과,Y,2019,호텔 농심,부산,부산 동래구 금강공원로20번길 23,200개 이상,5성,관광호텔업,195427,52941,423500,9,"자녀, 배우자",52,50대,가족여행
18936,M,1975,기혼,중/고등학생,5,서울,송파구,경영/관리직,1000만원 초과,Y,2023,호텔 농심,부산,부산 동래구 금강공원로20번길 23,200개 이상,5성,관광호텔업,195427,52941,423500,9,"배우자, 자녀",49,40대,가족여행
18938,M,1970,기혼,중/고등학생,4,서울,동대문구,경영/관리직,1000만원 초과,Y,2020,유성호텔,대전,대전 유성구 온천로 9,200개 이하,3성,관광호텔,195606,136408,388800,8,"배우자, 자녀",51,50대,가족여행
18945,M,1965,기혼,결혼하지 않은 성인,3,인천,남동구,전문직,1000만원 초과,Y,2022,유성호텔,대전,대전 유성구 온천로 9,200개 이하,3성,관광호텔,195606,136408,388800,8,"자녀, 배우자",58,50대,가족여행
18412,M,1981,기혼,"영/유아, 초등학생",3,서울,광진구,전문직,1000만원 초과,Y,2021,제주 신라 호텔,제주,제주특별자치도 서귀포시 중문관광로72번길 75,200개 이상,5성,관광호텔,533024,341976,992750,9,"자녀, 배우자",41,40대,가족여행
18413,M,1974,기혼,"영/유아, 초등학생",4,서울,용산구,전문직,1000만원 초과,Y,2020,제주 신라 호텔,제주,제주특별자치도 서귀포시 중문관광로72번길 75,200개 이상,5성,관광호텔,533024,341976,992750,9,"배우자, 자녀",47,40대,가족여행
18416,M,1985,기혼,"영/유아, 초등학생",3,서울,구로구,전문직,1000만원 초과,Y,2022,제주 신라 호텔,제주,제주특별자치도 서귀포시 중문관광로72번길 75,200개 이상,5성,관광호텔,533024,341976,992750,9,"자녀, 배우자",38,30대,가족여행
18956,F,1977,기혼,중/고등학생,4,세종,,사무직,1000만원 초과,Y,2020,라마다 바이 윈덤 대전,대전,대전광역시 유성구 계룡로 127,200개 이상,4성,관광호텔업,159403,91901,264710,9,"배우자, 자녀",44,40대,가족여행
